order_id,order_date,customer_name,customer_email,customer_phone,state,platform,category,product_name,unit_price,quantity,discount_pct,total_amount,payment_method,customer_age,customer_gender,customer_segment,rating,delivery_days,returned
ORD-100030,2023-02-06,Customer_69,customer30@example.com,08079821310,Oyo,Flutterwave Store,Furniture,Computer Work Desk,461406.5,1,0,461406.5,USSD,999,Female,New,3,13,False
ORD-100031,2023-02-07,,customer31@example.com,08001074726,Abuja,Jiji,Electronics,Scanfrost Refrigerator,279678.35,2,0,559356.7,Card,36,Female,New,1,8,False
ORD-100032,2023-02-08,Customer_59,customer32@example.com,08061746040,Abuja,Jiji,Books,ICAN Study Pack,1448.64,3,0,4345.92,POS,35,Female,New,2,2,False
ORD-100033,2023-02-10,Customer_68,customer33@example.com,08031408451,Imo,Konga,Fashion,Men Senator Native,30183.11,3,10,81494.4,Card,41,Female,Premium,2,6,False
ORD-100034,2023-02-11,Customer_59,customer34@example.com,08003659007,Anambra,Flutterwave Store,Phones & Tablets,Tecno Spark 20 Pro,625003.7,5,0,3125018.5,Card,19,Female,Premium,2,13,True
ORD-100035,2023-02-12,Customer_91,missing@,08067961390,Oyo,Konga,Furniture,Glass Centre Table,202856.8,1,5,192713.96,USSD,61,Female,VIP,4,1,False
ORD-100036,2023-02-13,Customer_10,customer36@example.com,08022989271,Enugu,Jumia,Books,Nigerian Law Reports,1944.35,2,15,3305.4,USSD,37,Female,Premium,3,5,False
ORD-100037,2023-02-15,Customer_13,customer37@example.com,08001781642,Imo,Konga,Electronics,Samsung Smart TV,40902.56,2,15,69534.35,USSD,30,Female,Regular,2,11,False
ORD-100038,2023-02-16,,customer38@example.com,,Rivers,WhatsApp Commerce,Electronics,Scanfrost Refrigerator,49922.73,3,0,149768.19,Pay on Delivery,55,Female,Premium,2,7,False
ORD-100039,2023-02-17,Customer_90,customer39@example.com,08001239895,Abuja,Konga,Groceries,Honeywell Flour 10kg,6803.3,5,20,27213.2,Pay on Delivery,,Male,Regular,1,13,False
ORD-100040,2023-02-18,Customer_15,customer40@example.com,08053326219,Unknwon,Jumia,Groceries,Titus Sardine 50pcs,7330.15,5,5,34818.21,Bank Transfer,30,Female,Premium,1,10,False
ORD-100041,2023-02-19,Customer_46,customer41@example.com,08070480359,Rivers,Konga,Sports,Adidas Running Sneakers,17368.86,5,0,86844.3,Pay on Delivery,999,Female,New,3,1,False
ORD-100042,2023-02-21,Customer_57,customer42@example.com,08046067785,Anambra,Jumia,Fashion,Men Senator Native,12526.01,2,5,23799.42,POS,43,Female,Premium,3,2,False
ORD-100043,2023-02-22,Customer_10,customer43@example.com,08023370933,Imo,Flutterwave Store,Beauty,Maybelline Mascara,4805.6,1,5,4565.32,POS,29,Female,VIP,5,7,False
ORD-100044,2023-02-23,  Customer_22  ,customer44@example.com,08045888087,Delta,Konga,Books,ACCA F3 Textbook,3212.27,2,20,5139.63,USSD,42,Female,New,1,6,False
ORD-100045,2023-02-24,Customer_89,customer45@example.com,0897763876,Imo,Jumia,Books,JAMB CBT Practice Book,10244.9,4,0,40979.6,Card,56,Male,New,5,3,False
ORD-100046,26/02/2023,Customer_79,customer46@example.com,08057298946,XXX,Flutterwave Store,Beauty,Nivea Fair & Lovely,8837.94,4,10,31816.58,USSD,55,Female,VIP,4,10,False
ORD-100047,2023-02-27,Customer_77,customer47@example.com,08011401865,Oyo,WhatsApp Commerce,Sports,Yoga Mat Non-Slip,39438.98,1,20,31551.18,Card,43,Male,Premium,5,2,False
ORD-100048,2023-02-28,Customer_8,customer48@example.com,08048553048,Delta,Jiji,Phones & Tablets,iPhone 15 128GB,208957.65,3,5,595529.3,USSD,41,Female,Premium,2,10,False
ORD-100049,2023-03-01,Customer_21,customer49@example.com,08048220851,Lagos,Jumia,Phones & Tablets,Infinix Hot 40 Pro,500039.21,1,5,475037.25,USSD,64,Male,VIP,5,4,False
ORD-100050,N/A,Customer_85,customer50@example.com,08081163071,Oyo,WhatsApp Commerce,Sports,Yoga Mat Non-Slip,47378.77,2,10,85281.79,POS,17,Male,New,3,3,False
ORD-100051,2023-03-04,Customer_22,customer51@example.com,08026616598,Delta,Flutterwave Store,Phones & Tablets,Tecno Spark 20 Pro,604350.98,4,5,2296533.72,Card,40,Female,VIP,4,7,False
ORD-100052,2023-03-05,CUSTOMER_97,customer52@example.com,0848020375,Enugu,WhatsApp Commerce,Groceries,Golden Penny Rice 25kg,2041.85,1,5,1939.76,Bank Transfer,18,Male,Regular,2,8,False
ORD-100053,2023-03-06,Customer_45,customer53@example.com,08017145700,Rivers,Konga,Books,Nigerian Law Reports,9708.13,1,5,9222.72,Bank Transfer,23,Male,Regular,5,2,False
ORD-100054,2023-03-07,Customer_91,customer54@example.com,08086674408,Oyo,Jiji,Sports,Nigeria Football Jersey,73635.42,3,15,187770.32,USSD,59,Female,Premium,4,10,False
ORD-100055,2023-03-09,Customer_40,customer55@example.com,08024194717,Rivers,Jumia,Books,JAMB CBT Practice Book,2434.09,2,20,3894.54,USSD,48,Male,New,4,7,True
ORD-100056,2023-03-10,Customer_22,customer56@example.com,08090406722,Kaduna,Flutterwave Store,Beauty,MAC Foundation,10831.01,2,0,21662.02,POS,57,Male,Regular,2,8,False
ORD-100057,2023-03-11,Customer_30,customer57@example.com,0815169501,Imo,Jiji,Electronics,LG Air Conditioner,304278.58,2,20,486845.73,Card,,Male,VIP,5,6,False
ORD-100058,2023-03-12,Customer_62,customer58@example.com,08082230829,Delta,Flutterwave Store,Groceries,Golden Penny Rice 25kg,7422.2,1,10,6679.98,USSD,21,Female,Premium,4,6,False
ORD-100059,"March 13, 2023",Customer_73,customer59@example.com,08030446736,Rivers,WhatsApp Commerce,Furniture,Glass Centre Table,246207.56,1,5,233897.18,Bank Transfer,999,Female,Premium,4,10,True
ORD-100060,N/A,Customer_45,customer60@example.com,08053284659,Delta,Flutterwave Store,Groceries,Golden Penny Rice 25kg,4106.28,4,20,13140.1,Card,38,Female,New,1,1,False
ORD-100061,2023-03-16,Customer_35,customer61@example.com,08059121207,Rivers,Flutterwave Store,Sports,Adidas Running Sneakers,110459.2,2,15,187780.64,USSD,40,Female,Regular,4,4,False
ORD-100062,2023-03-17,Customer_82,customer62@example.com,08075606275,Enugu,WhatsApp Commerce,Furniture,Computer Work Desk,303857.41,2,10,546943.34,Card,58,Male,Premium,1,1,False
ORD-100063,2023-03-18,Customer_42,customer63@example.com,08089154492,Kano,WhatsApp Commerce,Electronics,Scanfrost Refrigerator,26003.63,1,0,26003.63,POS,34,Female,VIP,5,4,True
ORD-100064,2023-03-19,Customer_5,customer64@example.com,08047972181,Enugu,Jiji,Sports,Nigeria Football Jersey,109791.69,2,20,175666.7,Bank Transfer,20,Male,Regular,5,2,False
ORD-100065,2023-03-21,Customer_27,customer65@example.com,08019038838,Abuja,Jumia,Fashion,Men Agbada Set,13049.62,3,0,39148.86,Card,26,Female,Premium,5,11,False
ORD-100066,22/03/2023,Customer_70,customer66@example.com,08095815137,Delta,WhatsApp Commerce,Books,WAEC Past Questions,7438.43,5,5,35332.54,Bank Transfer,27,Female,Premium,,13,False
ORD-100067,2023-03-23,Customer_62,customer67@example.com,08060156286,Enugu,Jiji,Electronics,Sony Home Theatre,70446.96,3,15,179639.75,USSD,25,Male,Regular,5,5,False
ORD-100068,"March 24, 2023",Customer_32,customer68@example.com,08004926924,Lagos,Flutterwave Store,Books,ICAN Study Pack,1565.89,2,15,2662.01,Pay on Delivery,23,Male,Regular,4,10,False
ORD-100069,2023-03-26,,customer69@example.com,08091573876,Delta,Flutterwave Store,Phones & Tablets,iPhone 15 128GB,273276.98,3,20,655864.75,Card,39,Female,New,2,9,False
ORD-100070,2023-03-27,Customer_85,customer70@example.com,08054020392,Anambra,Konga,Fashion,Men Senator Native,35671.07,1,10,32103.96,Bank Transfer,,Female,VIP,1,11,False
ORD-100071,2023-03-28,Customer_18,missing@,08025568607,Imo,WhatsApp Commerce,Fashion,Men Agbada Set,14297.45,1,10,12867.71,Card,56,Female,New,3,12,False
ORD-100072,2023-03-29,Customer_78,customer72@example.com,08094412986,Imo,Jiji,Electronics,Hisense Chest Freezer,88732.57,2,15,150845.37,USSD,51,Female,New,5,10,True
ORD-100073,2023-03-30,Customer_15,customer73@example.com,08010874106,Abuja,Jiji,Fashion,Men Senator Native,11538.93,2,10,20770.07,USSD,52,Female,VIP,5,3,False
ORD-100074,2023-04-01,Customer_26,customer74@example.com,08016695422,Lagos,Jumia,Furniture,6ft Orthopedic Mattress,269707.5,5,15,1146256.88,Bank Transfer,36,Male,VIP,2,8,False
ORD-100075,2023-04-02,Customer_53,customer75@example.com,08083135540,Abuja,Jiji,Fashion,Ankara Midi Dress,43960.51,5,20,175842.04,POS,23,Female,New,2,3,False
ORD-100076,2023-04-03,Customer_44,customer76@example.com,08050829217,Oyo,WhatsApp Commerce,Books,Nigerian Law Reports,6157.08,4,0,24628.32,Card,24,Male,Regular,3,6,False
ORD-100077,2023-04-04,Customer_32,customer77@example.com,08016389867,Delta,Jiji,Books,ICAN Study Pack,7218.9,2,15,12272.13,Card,62,Female,VIP,1,4,False
ORD-100078,2023-04-06,Customer_28,customer78@example.com,08019678699,Lagos,Konga,Sports,Treadmill Manual,103693.95,2,0,207387.9,USSD,30,Female,New,5,8,False
ORD-100079,2023-04-07,Customer_39,customer79@example.com,08059113861,Kaduna,Flutterwave Store,Books,Nigerian Law Reports,6978.75,3,10,18842.62,Card,63,Male,Regular,3,11,False
ORD-100080,2023-04-08,Customer_32,customer80@example.com,08087201135,Rivers,Flutterwave Store,Sports,Nigeria Football Jersey,24582.16,2,15,41789.67,Bank Transfer,61,Female,Premium,4,6,False
ORD-100081,N/A,Customer_77,customer81@example.com,08035599072,Anambra,Jiji,Books,ICAN Study Pack,4435.64,1,15,3770.29,Pay on Delivery,55,Male,Regular,4,8,False
ORD-100082,2023-04-10,Customer_79,customer82@example.com,08014086235,Delta,Jiji,Furniture,6ft Orthopedic Mattress,172220.04,4,20,551104.13,USSD,33,Male,New,3,1,False
ORD-100083,2023-04-12,Customer_18,,08058432902,Anambra,Jiji,Beauty,Neutrogena Body Lotion,10415.1,1,10,9373.59,Pay on Delivery,57,Female,VIP,5,6,False
ORD-100084,2023-04-13,Customer_70,customer84@example.com,08060278667,Lagos,Jiji,Sports,Kettlebell 20kg,52934.3,1,0,52934.3,Card,35,Male,Regular,3,1,False
ORD-100085,2023-04-14,Customer_11,customer85@example.com,08006008963,Rivers,Konga,Groceries,Indomie Noodles Carton,6498.37,5,20,25993.48,POS,21,Female,Regular,5,1,False
ORD-100086,2023-04-15,Customer_32,customer86@example.com,08065362032,Abuja,WhatsApp Commerce,Phones & Tablets,iPhone 15 128GB,302281.05,3,0,,Bank Transfer,27,Female,Regular,2,8,True
ORD-100087,N/A,Customer_20,customer87@example.com,08047033467,Delta,Konga,Electronics,Scanfrost Refrigerator,171857.66,2,20,274972.26,Card,17,Female,VIP,3,7,False
ORD-100088,2023-04-18,Customer_97,customer88@example.com,08062576958,Rivers,Konga,Books,Nigerian Law Reports,7949.74,1,10,7154.77,Bank Transfer,22,Female,VIP,5,3,False
ORD-100089,2023-04-19,Customer_40,customer89@example.com,08000796213,Anambra,Konga,Fashion,Men Senator Native,18553.35,3,0,55660.05,Card,31,Female,Regular,3,6,False
ORD-100090,2023-04-20,Customer_8,customer90@example.com,08097525169,Kano,Flutterwave Store,Beauty,Nivea Fair & Lovely,21044.87,1,10,18940.38,Card,18,Female,Regular,,9,False
ORD-100091,2023-04-21,  Customer_35  ,notanemail,08073634692,Lagos,Konga,Books,Nigerian Law Reports,7544.5,5,10,33950.25,Card,60,Female,New,,7,False
ORD-100092,2023-04-23,,customer92@example.com,08024296088,Lagos,Jiji,Fashion,Female Aso-Oke,14996.9,2,0,29993.8,USSD,18,Male,VIP,5,12,False
ORD-100093,N/A,,customer93@example.com,08095427392,Anambra,Konga,Phones & Tablets,Tecno Spark 20 Pro,581255.29,4,0,2325021.16,Pay on Delivery,42,Female,Regular,1,3,False
ORD-100094,2023-04-25,Customer_78,customer94@example.com,08085411811,Anambra,Jiji,Phones & Tablets,Samsung Galaxy A55,438650.51,3,10,1184356.38,POS,58,Male,VIP,3,13,False
ORD-100095,2023-04-26,Customer_21,customer95@example.com,08036813819,Oyo,WhatsApp Commerce,Phones & Tablets,Infinix Hot 40 Pro,443858.76,3,10,1198418.65,Pay on Delivery,55,Female,VIP,4,6,False
ORD-100096,2023-04-27,Customer_24,customer96@example.com,08078673317,Abuja,Flutterwave Store,Fashion,Men Agbada Set,22946.24,2,10,41303.23,Pay on Delivery,,Female,VIP,3,11,False
ORD-100097,2023-04-29,Customer_17,customer97@example.com,08030325671,Anambra,WhatsApp Commerce,Books,Nigerian Law Reports,6567.73,3,0,19703.19,Bank Transfer,48,Male,New,3,4,False
ORD-100098,2023-04-30,Customer_18,notanemail,0853989621,Enugu,WhatsApp Commerce,Phones & Tablets,Tecno Spark 20 Pro,620497.56,1,10,558447.8,USSD,43,Male,Premium,5,13,False
ORD-100099,2023-05-01,Customer_98,customer99@example.com,0994970618,Imo,Flutterwave Store,Furniture,L-Shape Office Sofa,73916.2,1,10,66524.58,USSD,16,Male,VIP,3,3,False
ORD-100100,02/05/2023,Customer_12,notanemail,08088421759,Imo,Jiji,Sports,Kettlebell 20kg,42120.45,2,5,80028.86,Card,23,Male,VIP,3,9,False
ORD-100101,2023-05-04,Customer_16,customer101@example.com,08009192042,Delta,Jiji,Fashion,Men Agbada Set,5708.89,4,0,22835.56,Pay on Delivery,52,Female,Regular,4,10,False
ORD-100102,2023-05-05,Customer_4,customer102@example.com,08058288025,Kaduna,Jiji,Fashion,Female Aso-Oke,34512.96,2,0,69025.92,POS,,Female,VIP,5,2,True
ORD-100103,2023-05-06,Customer_89,customer103@example.com,08048566333,Delta,Flutterwave Store,Books,WAEC Past Questions,4140.86,1,0,4140.86,Bank Transfer,63,Male,Premium,3,1,True
ORD-100104,2023-05-07,Customer_34,customer104@example.com,08078160039,Oyo,Konga,Fashion,Men Senator Native,40640.79,2,5,77217.5,USSD,58,Female,VIP,2,2,False
ORD-100105,2023-05-08,Customer_92,,08010916859,Rivers,Jumia,Fashion,Men Agbada Set,24879.58,3,0,0,Card,52,Male,New,1,7,False
ORD-100106,2023-05-10,,,08098608138,Kaduna,Konga,Phones & Tablets,Xiaomi Redmi Note 13,647573.58,1,20,518058.86,POS,19,Male,Regular,4,,False
ORD-100107,2023-05-11,Customer_75,customer107@example.com,,Rivers,Konga,Books,JAMB CBT Practice Book,11772.46,2,10,21190.43,Pay on Delivery,45,Male,Premium,3,1,True
ORD-100108,2023-05-12,Customer_77,customer108@example.com,08072390399,Imo,WhatsApp Commerce,Phones & Tablets,Xiaomi Redmi Note 13,677438.48,2,5,1287133.11,POS,21,Male,New,2,6,False
ORD-100109,2023-05-13,Customer_31,customer109@example.com,08036928931,Imo,Jumia,Sports,Treadmill Manual,104438.27,4,20,334202.46,USSD,,Male,Premium,3,7,False
ORD-100110,2023-05-15,Customer_25,,08019590532,Imo,Jiji,Beauty,Maybelline Mascara,10673.22,1,10,9605.9,Bank Transfer,34,Female,Regular,3,9,False
ORD-100111,2023-05-16,Customer_74,customer111@example.com,08082581644,Anambra,Konga,Sports,Nigeria Football Jersey,67551.54,1,0,67551.54,Pay on Delivery,47,Male,VIP,5,8,True
ORD-100112,2023-05-17,Customer_24,customer112@example.com,08038983218,Oyo,Flutterwave Store,Beauty,Neutrogena Body Lotion,6944.1,1,15,5902.48,Bank Transfer,24,Male,Regular,5,6,False
ORD-100113,2023-05-18,Customer_65,customer113@example.com,08044354385,Enugu,Konga,Phones & Tablets,Xiaomi Redmi Note 13,185026.52,3,5,527325.58,POS,27,Female,Regular,,3,False
ORD-100114,2023-05-19,Customer_25,customer114@example.com,08092950495,Delta,Jiji,Sports,Yoga Mat Non-Slip,62144.42,1,0,62144.42,POS,26,Male,VIP,2,8,False
ORD-100115,2023-05-21,Customer_28,customer115@example.com,08021377232,Rivers,Konga,Books,WAEC Past Questions,7626.53,5,5,36226.02,Card,61,Male,New,3,7,False
ORD-100116,2023-05-22,Customer_36,customer116@example.com,08035421808,Kano,WhatsApp Commerce,Electronics,Sony Home Theatre,128655.87,5,5,611115.38,Pay on Delivery,31,Female,Premium,1,3,True
ORD-100117,2023-05-23,Customer_82,customer117@example.com,0883028125,Delta,WhatsApp Commerce,Phones & Tablets,Tecno Spark 20 Pro,470624.29,5,0,2353121.45,POS,16,Female,New,4,9,False
ORD-100118,2023-05-24,Customer_6,customer118@example.com,08066850702,Lagos,Konga,Beauty,Maybelline Mascara,22276.54,2,0,44553.08,USSD,60,Female,VIP,5,12,False
ORD-100119,2023-05-26,Customer_66,customer119@example.com,08086824970,Abuja,WhatsApp Commerce,Furniture,6ft Orthopedic Mattress,289442.75,1,0,289442.75,USSD,36,Female,Premium,5,2,False
ORD-100120,2023-05-27,Customer_67,customer120@example.com,08009950141,Kaduna,Flutterwave Store,Beauty,Dark & Lovely Relaxer,18243.68,5,10,82096.56,Bank Transfer,45,Female,VIP,3,3,False
ORD-100121,2023-05-28,Customer_72,customer121@example.com,08057775201,Rivers,Jumia,Furniture,6ft Orthopedic Mattress,407524.61,2,5,774296.76,USSD,28,Male,New,3,2,False
ORD-100122,2023-05-29,Customer_95,customer122@example.com,08049008169,Oyo,Konga,Fashion,Female Aso-Oke,44520.97,4,10,160275.49,POS,49,Male,Regular,2,13,True
ORD-100123,2023-05-30,Customer_48,customer123@example.com,08074039294,Imo,Flutterwave Store,Sports,Nigeria Football Jersey,73574.1,2,15,125075.97,USSD,19,Male,Premium,2,1,True
ORD-100124,2023-06-01,Customer_83,customer124@example.com,08051620928,Lagos,Flutterwave Store,Furniture,L-Shape Office Sofa,408253.82,5,0,2041269.1,Pay on Delivery,43,Female,VIP,5,4,True
ORD-100125,2023-06-02,Customer_70,customer125@example.com,08053746844,Abuja,Flutterwave Store,Beauty,Neutrogena Body Lotion,24096.11,4,10,86746.0,Bank Transfer,53,Female,Premium,3,5,False
ORD-100126,2023-06-03,CUSTOMER_78,notanemail,08012011771,Rivers,Jiji,Fashion,Female Gele Headtie,42637.41,3,0,0,Pay on Delivery,46,Female,Premium,1,13,False
ORD-100127,2023-06-04,Customer_67,customer127@example.com,08024442236,Enugu,Konga,Electronics,Sony Home Theatre,62262.42,2,10,112072.36,POS,42,Female,New,4,6,False
ORD-100128,N/A,Customer_48,customer128@example.com,08033097076,Imo,Konga,Books,WAEC Past Questions,5589.04,1,0,5589.04,POS,,Female,Regular,3,5,True
ORD-100129,2023-06-07,Customer_65,customer129@example.com,0859798118,Rivers,Konga,Books,Nigerian Law Reports,4699.09,1,0,4699.09,USSD,40,Female,Premium,3,1,False
ORD-100130,2023-06-08,Customer_44,customer130@example.com,08035969839,Kano,Jumia,Books,WAEC Past Questions,2138.79,2,0,4277.58,Card,,Male,New,2,3,False
ORD-100131,2023-06-09,,customer131@example.com,0896788530,Unknwon,Flutterwave Store,Furniture,Glass Centre Table,325789.37,5,0,1628946.85,Card,48,Female,Premium,4,1,False
ORD-100132,2023-06-10,Customer_63,customer132@example.com,08012994931,Oyo,Konga,Electronics,Samsung Smart TV,261528.05,1,0,261528.05,POS,19,Male,Regular,5,11,False
ORD-100133,2023-06-12,Customer_46,customer133@example.com,08044927511,Kano,WhatsApp Commerce,Furniture,6ft Orthopedic Mattress,427860.85,3,0,1283582.55,POS,40,Male,Premium,3,5,False
ORD-100134,2023-06-13,Customer_19,missing@,08098540552,Enugu,Jiji,Sports,Adidas Running Sneakers,17364.9,1,0,17364.9,Bank Transfer,35,Male,Regular,5,5,True
ORD-100135,2023-06-14,Customer_64,customer135@example.com,08026919912,Oyo,Jumia,Furniture,Wardrobe 4-Door,441310.94,5,5,2096226.96,POS,49,Female,New,3,12,False
ORD-100136,2023-06-15,Customer_83,customer136@example.com,08026893687,Kaduna,Jiji,Electronics,Samsung Smart TV,230380.06,3,10,622026.16,POS,41,Female,New,5,11,False
ORD-100137,2023-06-16,Customer_73,customer137@example.com,08044247437,Enugu,Flutterwave Store,Electronics,Scanfrost Refrigerator,250821.96,4,0,1003287.84,Bank Transfer,20,Female,Regular,4,13,False
ORD-100138,2023-06-18,Customer_71,missing@,08044913770,Oyo,WhatsApp Commerce,Sports,Treadmill Manual,109543.01,3,0,,Pay on Delivery,50,Female,Regular,2,6,True
ORD-100139,2023-06-19,Customer_50,,08089694057,Enugu,Flutterwave Store,Electronics,Hisense Chest Freezer,224295.03,5,0,1121475.15,Pay on Delivery,43,Female,New,4,8,True
ORD-100140,2023-06-20,Customer_63,customer140@example.com,08043890528,Kano,Konga,Beauty,Neutrogena Body Lotion,8927.95,4,0,35711.8,Bank Transfer,44,Male,Regular,1,10,False
ORD-100141,2023-06-21,Customer_41,customer141@example.com,08088783544,Kaduna,Jiji,Electronics,Sony Home Theatre,291410.96,5,5,1384202.06,Bank Transfer,24,Male,Regular,2,12,False
ORD-100142,2023-06-23,Customer_7,customer142@example.com,08058065203,Enugu,WhatsApp Commerce,Books,ACCA F3 Textbook,5121.04,1,10,4608.94,Pay on Delivery,53,Female,VIP,4,1,False
ORD-100143,N/A,Customer_9,customer143@example.com,,Kaduna,Jiji,Beauty,Maybelline Mascara,1628.32,1,5,1546.9,Pay on Delivery,21,Male,Premium,1,4,False
ORD-100144,2023-06-25,Customer_4,customer144@example.com,08072605826,Abuja,Jumia,Beauty,Neutrogena Body Lotion,20901.84,5,0,104509.2,Pay on Delivery,34,Male,New,3,10,False
ORD-100145,2023-06-26,Customer_89,customer145@example.com,08022328357,Enugu,WhatsApp Commerce,Sports,Treadmill Manual,43387.48,5,20,173549.92,Pay on Delivery,59,Female,New,3,11,False
ORD-100146,2023-06-27,Customer_49,customer146@example.com,08045969635,Delta,Jumia,Groceries,Honeywell Flour 10kg,6303.76,1,0,6303.76,USSD,26,Male,VIP,5,1,False
