order_id,order_date,customer_name,customer_email,customer_phone,state,platform,category,product_name,unit_price,quantity,discount_pct,total_amount,payment_method,customer_age,customer_gender,customer_segment,rating,delivery_days,returned,customer_phone_clean,total_recalc,order_year,order_month,order_monthname,order_quarter,age_group,is_high_value,discount_tier
ORD-100059,2023-01-01,Customer_73,customer59@example.com,8030446736.0,Rivers,Whatsapp Commerce,Furniture,Glass Centre Table,246207.56,1,5,233897.18,Bank Transfer,41.5,Female,Premium,4.0,10.0,True,INVALID,233897.182,2023,1,January,Q1,36-45,True,0-9%
ORD-100060,2023-01-01,Customer_45,customer60@example.com,8053284659.0,Delta,Flutterwave Store,Groceries,Golden Penny Rice 25Kg,4106.28,4,20,13140.1,Card,38.0,Female,New,1.0,1.0,False,INVALID,13140.096,2023,1,January,Q1,36-45,False,20%+
ORD-100061,2023-01-01,Customer_35,customer61@example.com,8059121207.0,Rivers,Flutterwave Store,Sports,Adidas Running Sneakers,110459.2,2,15,187780.64,Ussd,40.0,Female,Regular,4.0,4.0,False,INVALID,187780.63999999998,2023,1,January,Q1,36-45,True,15-19%
ORD-100062,2023-01-01,Customer_82,customer62@example.com,8075606275.0,Enugu,Whatsapp Commerce,Furniture,Computer Work Desk,303857.41,2,10,546943.34,Card,58.0,Male,Premium,1.0,1.0,False,INVALID,546943.338,2023,1,January,Q1,56-65,True,10-14%
ORD-100063,2023-01-01,Customer_42,customer63@example.com,8089154492.0,Kano,Whatsapp Commerce,Electronics,Scanfrost Refrigerator,26003.63,1,0,26003.63,Pos,34.0,Female,Vip,5.0,4.0,True,INVALID,26003.63,2023,1,January,Q1,26-35,False,No Discount
ORD-100064,2023-01-01,Customer_5,customer64@example.com,8047972181.0,Enugu,Jiji,Sports,Nigeria Football Jersey,109791.69,2,20,175666.7,Bank Transfer,20.0,Male,Regular,5.0,2.0,False,INVALID,175666.70400000003,2023,1,January,Q1,18-25,True,20%+
ORD-100065,2023-01-01,Customer_27,customer65@example.com,8019038838.0,Abuja,Jumia,Fashion,Men Agbada Set,13049.62,3,0,39148.86,Card,26.0,Female,Premium,5.0,11.0,False,INVALID,39148.86,2023,1,January,Q1,26-35,False,No Discount
ORD-100066,2023-01-01,Customer_70,customer66@example.com,8095815137.0,Delta,Whatsapp Commerce,Books,Waec Past Questions,7438.43,5,5,35332.54,Bank Transfer,27.0,Female,Premium,3.0,13.0,False,INVALID,35332.5425,2023,1,January,Q1,26-35,False,0-9%
ORD-100067,2023-01-01,Customer_62,customer67@example.com,8060156286.0,Enugu,Jiji,Electronics,Sony Home Theatre,70446.96,3,15,179639.75,Ussd,25.0,Male,Regular,5.0,5.0,False,INVALID,179639.748,2023,1,January,Q1,18-25,True,15-19%
ORD-100068,2023-01-01,Customer_32,customer68@example.com,8004926924.0,Lagos,Flutterwave Store,Books,Ican Study Pack,1565.89,2,15,2662.01,Pay On Delivery,23.0,Male,Regular,4.0,10.0,False,INVALID,2662.013,2023,1,January,Q1,18-25,False,15-19%
ORD-100069,2023-01-01,Unknown Customer,customer69@example.com,8091573876.0,Delta,Flutterwave Store,Phones & Tablets,Iphone 15 128Gb,273276.98,3,20,655864.75,Card,39.0,Female,New,2.0,9.0,False,INVALID,655864.752,2023,1,January,Q1,36-45,True,20%+
ORD-100070,2023-01-01,Customer_85,customer70@example.com,8054020392.0,Anambra,Konga,Fashion,Men Senator Native,35671.07,1,10,32103.96,Bank Transfer,41.5,Female,Vip,1.0,11.0,False,INVALID,32103.963,2023,1,January,Q1,36-45,False,10-14%
ORD-100071,2023-01-01,Customer_18,missing@,8025568607.0,Imo,Whatsapp Commerce,Fashion,Men Agbada Set,14297.45,1,10,12867.71,Card,56.0,Female,New,3.0,12.0,False,INVALID,12867.705000000002,2023,1,January,Q1,56-65,False,10-14%
ORD-100072,2023-01-01,Customer_78,customer72@example.com,8094412986.0,Imo,Jiji,Electronics,Hisense Chest Freezer,88732.57,2,15,150845.37,Ussd,51.0,Female,New,5.0,10.0,True,INVALID,150845.369,2023,1,January,Q1,46-55,True,15-19%
ORD-100073,2023-01-01,Customer_15,customer73@example.com,8010874106.0,Abuja,Jiji,Fashion,Men Senator Native,11538.93,2,10,20770.07,Ussd,52.0,Female,Vip,5.0,3.0,False,INVALID,20770.074,2023,1,January,Q1,46-55,False,10-14%
ORD-100074,2023-01-04,Customer_26,customer74@example.com,8016695422.0,Lagos,Jumia,Furniture,6Ft Orthopedic Mattress,269707.5,5,15,1146256.88,Bank Transfer,36.0,Male,Vip,2.0,8.0,False,INVALID,1146256.875,2023,1,January,Q1,36-45,True,15-19%
ORD-100075,2023-02-04,Customer_53,customer75@example.com,8083135540.0,Abuja,Jiji,Fashion,Ankara Midi Dress,43960.51,5,20,175842.04,Pos,23.0,Female,New,2.0,3.0,False,INVALID,175842.04000000004,2023,2,February,Q1,18-25,True,20%+
ORD-100076,2023-03-04,Customer_44,customer76@example.com,8050829217.0,Oyo,Whatsapp Commerce,Books,Nigerian Law Reports,6157.08,4,0,24628.32,Card,24.0,Male,Regular,3.0,6.0,False,INVALID,24628.32,2023,3,March,Q1,18-25,False,No Discount
ORD-100077,2023-04-04,Customer_32,customer77@example.com,8016389867.0,Delta,Jiji,Books,Ican Study Pack,7218.9,2,15,12272.13,Card,62.0,Female,Vip,1.0,4.0,False,INVALID,12272.13,2023,4,April,Q2,56-65,False,15-19%
ORD-100078,2023-06-04,Customer_28,customer78@example.com,8019678699.0,Lagos,Konga,Sports,Treadmill Manual,103693.95,2,0,207387.9,Ussd,30.0,Female,New,5.0,8.0,False,INVALID,207387.9,2023,6,June,Q2,26-35,True,No Discount
ORD-100079,2023-07-04,Customer_39,customer79@example.com,8059113861.0,Kaduna,Flutterwave Store,Books,Nigerian Law Reports,6978.75,3,10,18842.62,Card,63.0,Male,Regular,3.0,11.0,False,INVALID,18842.625,2023,7,July,Q3,56-65,False,10-14%
ORD-100080,2023-08-04,Customer_32,customer80@example.com,8087201135.0,Rivers,Flutterwave Store,Sports,Nigeria Football Jersey,24582.16,2,15,41789.67,Bank Transfer,61.0,Female,Premium,4.0,6.0,False,INVALID,41789.672,2023,8,August,Q3,56-65,False,15-19%
ORD-100081,2023-01-01,Customer_77,customer81@example.com,8035599072.0,Anambra,Jiji,Books,Ican Study Pack,4435.64,1,15,3770.29,Pay On Delivery,55.0,Male,Regular,4.0,8.0,False,INVALID,3770.2940000000003,2023,1,January,Q1,46-55,False,15-19%
ORD-100082,2023-10-04,Customer_79,customer82@example.com,8014086235.0,Delta,Jiji,Furniture,6Ft Orthopedic Mattress,172220.04,4,20,551104.13,Ussd,33.0,Male,New,3.0,1.0,False,INVALID,551104.128,2023,10,October,Q4,26-35,True,20%+
ORD-100083,2023-12-04,Customer_18,no-email@placeholder.ng,8058432902.0,Anambra,Jiji,Beauty,Neutrogena Body Lotion,10415.1,1,10,9373.59,Pay On Delivery,57.0,Female,Vip,5.0,6.0,False,INVALID,9373.59,2023,12,December,Q4,56-65,False,10-14%
ORD-100084,2023-01-01,Customer_70,customer84@example.com,8060278667.0,Lagos,Jiji,Sports,Kettlebell 20Kg,52934.3,1,0,52934.3,Card,35.0,Male,Regular,3.0,1.0,False,INVALID,52934.3,2023,1,January,Q1,26-35,False,No Discount
ORD-100085,2023-01-01,Customer_11,customer85@example.com,8006008963.0,Rivers,Konga,Groceries,Indomie Noodles Carton,6498.37,5,20,25993.48,Pos,21.0,Female,Regular,5.0,1.0,False,INVALID,25993.48,2023,1,January,Q1,18-25,False,20%+
ORD-100086,2023-01-01,Customer_32,customer86@example.com,8065362032.0,Abuja,Whatsapp Commerce,Phones & Tablets,Iphone 15 128Gb,302281.05,3,0,64540.42,Bank Transfer,27.0,Female,Regular,2.0,8.0,True,INVALID,906843.1499999999,2023,1,January,Q1,26-35,False,No Discount
ORD-100087,2023-01-01,Customer_20,customer87@example.com,8047033467.0,Delta,Konga,Electronics,Scanfrost Refrigerator,171857.66,2,20,274972.26,Card,17.0,Female,Vip,3.0,7.0,False,INVALID,274972.256,2023,1,January,Q1,Under 18,True,20%+
ORD-100088,2023-01-01,Customer_97,customer88@example.com,8062576958.0,Rivers,Konga,Books,Nigerian Law Reports,7949.74,1,10,7154.77,Bank Transfer,22.0,Female,Vip,5.0,3.0,False,INVALID,7154.766,2023,1,January,Q1,18-25,False,10-14%
ORD-100089,2023-01-01,Customer_40,customer89@example.com,8000796213.0,Anambra,Konga,Fashion,Men Senator Native,18553.35,3,0,55660.05,Card,31.0,Female,Regular,3.0,6.0,False,INVALID,55660.049999999996,2023,1,January,Q1,26-35,False,No Discount
ORD-100090,2023-01-01,Customer_8,customer90@example.com,8097525169.0,Kano,Flutterwave Store,Beauty,Nivea Fair & Lovely,21044.87,1,10,18940.38,Card,18.0,Female,Regular,3.0,9.0,False,INVALID,18940.382999999998,2023,1,January,Q1,18-25,False,10-14%
ORD-100091,2023-01-01,Customer_35,notanemail,8073634692.0,Lagos,Konga,Books,Nigerian Law Reports,7544.5,5,10,33950.25,Card,60.0,Female,New,3.0,7.0,False,INVALID,33950.25,2023,1,January,Q1,56-65,False,10-14%
ORD-100092,2023-01-01,Unknown Customer,customer92@example.com,8024296088.0,Lagos,Jiji,Fashion,Female Aso-Oke,14996.9,2,0,29993.8,Ussd,18.0,Male,Vip,5.0,12.0,False,INVALID,29993.8,2023,1,January,Q1,18-25,False,No Discount
ORD-100093,2023-01-01,Unknown Customer,customer93@example.com,8095427392.0,Anambra,Konga,Phones & Tablets,Tecno Spark 20 Pro,581255.29,4,0,2325021.16,Pay On Delivery,42.0,Female,Regular,1.0,3.0,False,INVALID,2325021.16,2023,1,January,Q1,36-45,True,No Discount
ORD-100094,2023-01-01,Customer_78,customer94@example.com,8085411811.0,Anambra,Jiji,Phones & Tablets,Samsung Galaxy A55,438650.51,3,10,1184356.38,Pos,58.0,Male,Vip,3.0,13.0,False,INVALID,1184356.377,2023,1,January,Q1,56-65,True,10-14%
ORD-100095,2023-01-01,Customer_21,customer95@example.com,8036813819.0,Oyo,Whatsapp Commerce,Phones & Tablets,Infinix Hot 40 Pro,443858.76,3,10,1198418.65,Pay On Delivery,55.0,Female,Vip,4.0,6.0,False,INVALID,1198418.652,2023,1,January,Q1,46-55,True,10-14%
ORD-100096,2023-01-01,Customer_24,customer96@example.com,8078673317.0,Abuja,Flutterwave Store,Fashion,Men Agbada Set,22946.24,2,10,41303.23,Pay On Delivery,41.5,Female,Vip,3.0,11.0,False,INVALID,41303.232,2023,1,January,Q1,36-45,False,10-14%
ORD-100097,2023-01-01,Customer_17,customer97@example.com,8030325671.0,Anambra,Whatsapp Commerce,Books,Nigerian Law Reports,6567.73,3,0,19703.19,Bank Transfer,48.0,Male,New,3.0,4.0,False,INVALID,19703.19,2023,1,January,Q1,46-55,False,No Discount
ORD-100098,2023-01-01,Customer_18,notanemail,853989621.0,Enugu,Whatsapp Commerce,Phones & Tablets,Tecno Spark 20 Pro,620497.56,1,10,558447.8,Ussd,43.0,Male,Premium,5.0,13.0,False,INVALID,558447.8040000001,2023,1,January,Q1,36-45,True,10-14%
ORD-100099,2023-01-05,Customer_98,customer99@example.com,994970618.0,Imo,Flutterwave Store,Furniture,L-Shape Office Sofa,73916.2,1,10,66524.58,Ussd,16.0,Male,Vip,3.0,3.0,False,INVALID,66524.58,2023,1,January,Q1,Under 18,True,10-14%
